Company_Name,incorporation_date,Period,income ($M),num_employee,country_code,web_globalrank,has_domain,has_instargram,has_facebook,Status
JOSEPH MENZIE,1990,32,,,840,,yes,no,no,inactive
"JULIUS COHEN JEWELER, INC.",1962,60,,,840,9971587,yes,no,no,active
KARAT PATCH JEWELRY,1982,40,,,840,,no,no,no,inactive
"KELLY WATERS, INC.",1964,58,10 - 15,20-49,840,3457783,yes,no,yes,active
KGK JEWELRY INC.,2004,18,0.5 - 1,5000-9999,840,936961,yes,no,yes,active
KLEIN'S JEWELRY,1986,36,,,840,,yes,no,no,active
KP JEWELRY,1989,33,,,840,5798116,yes,no,no,active
L J WEST DIAMONDS,1978,44,,,840,,yes,no,yes,active
"L&M JEWELRY CREATIONS, INC.",1967,55,,,840,,yes,no,yes,active
"LIMPID JEWELRY, INC.",,,,,840,11954737,yes,no,no,active
LOUIS CREATIONS INC,1988,34,,,840,,yes,no,no,active
LUXURY BAZAAR,2012,10,2 - 5,20-49,840,296634,yes,yes,yes,active
M. FABRIKANT & SONS INC.,1895,127,,,840,5450550,yes,yes,yes,active
Jewelry Chain,2019,3,,,840,,no,no,no,inactive
MACY'S INC.,1858,164,0.5 - 1,5000-9999,840,501042,yes,yes,no,active
MARK PATTERSON INC.,2007,15,,,840,,yes,yes,no,active
MAUI DIVERS OF HAWAII,1958,64,51 - 75,100-249,840,,yes,yes,yes,active
MAYORS JEWELERS,1910,112,21 - 50,100-249,840,,yes,yes,yes,active
MCM SUPPLY,,,,,840,,yes,yes,yes,active
MAZZA/BARTHOLOMEW LTD.,1987,35,,,840,,no,no,no,active
"MERCHANTS OVERSEAS, INC.",1951,71,,,840,,yes,no,no,active
MERCURY RING CORP.,1944,78,,,840,16438193,yes,no,no,inactive
METAL MARKETPLACE I INC.,1984,38,,,840,6151230,yes,no,no,active
"METRO AMERICA SALES, INC.",1995,27,,,840,,no,no,no,active
"MICHAEL BONDANZA, INC.",1977,45,,,840,,yes,yes,yes,active
MICHAEL GOOD DESIGNS INC.,1985,37,,,840,4794437,yes,yes,yes,active
"MICHOU, INC.",1995,27,,,840,,no,no,no,active
MIRANDO JEWELRY INC.,2011,11,,,840,,no,no,no,active
"MORGAN JEWELERS OF SALT LAKE CITY, INC.",1914,108,6 - 10,20-49,840,1852277,yes,yes,yes,active
Nancy and David Fine Jewels,1994,28,,,840,,yes,yes,yes,active
NEIMAN MARCUS,1990,32,1000,5000-9999,840,3029,yes,yes,yes,active
"NICE DIAMONDS, INC",1987,35,,,840,,no,no,no,active
"N J JEWELRY COMPANY, INC",2010,12,,,840,,no,no,no,inactive
ORIENTAL CREST,1985,37,,,840,,no,no,no,active
OTC INTERNATIONAL,2010,12,,,840,,no,no,no,active
OVERNIGHT MOUNTINGS,1995,27,10 - 15,100-249,840,879644,yes,no,no,active
PACIFIC SILVER,1998,24,,,840,,no,no,no,inactive
PAGEO,1975,47,6 - 10,20-49,840,2861450,yes,no,yes,active
PAOLO COSTAGLI,1994,28,,,840,7164299,no,no,no,active
PARAMOUNT GEMS,1993,29,,,840,,yes,yes,yes,active
PAUL FISHER INC.,1975,47,,,840,,yes,yes,no,active
PENELOPE'S OF GREECE,1988,34,,,840,3976129,no,no,yes,active
PERIODJEWELS INC,2010,12,,,840,,no,no,no,active
PERRIER GEMS INTERNATIONAL INC.,1994,28,,,840,,no,no,no,active
PETER STONE,1987,35,51 - 75,500-999,840,2770519,yes,no,yes,active
PLUM ISLAND SILVER CO.,1993,29,,,840,7061442,no,no,no,inactive
PRANDA NORTH AMERICA INC.,1991,31,,,840,10394563,yes,no,yes,active
PRIME ART & JEWEL (PAJ),1988,34,,,840,,no,yes,yes,active
PROMPT GEM IMPORTERS INC,1974,48,,,840,,no,no,no,active
PRONTO JEWELRY INC,1986,36,,,840,,no,no,no,active
PROVOCKATIVE GEMS,1990,32,,,840,,yes,no,no,active
R&S DESIGN CREATION,2010,12,,,840,,yes,yes,no,active
RADIANT CUT DIAMOND CORP.,2017,5,,,840,,no,no,no,active
RAINBOW RATAN CO.,1986,36,,,840,,no,no,yes,active
RAWAT GEMS LLC,2000,22,,,840,14521991,yes,no,no,active
Reeds Jenss Jewelers,1958,64,2 - 5,20-49,840,2802251,yes,no,no,active
REFLECTIVE IMAGES,1986,36,6 - 10,20-49,840,2151798,yes,yes,yes,active
RICHARD CANNON JEWELRY,2016,6,10 - 15,20-49,840,2198786,yes,no,yes,active
RICHARDS & WEST MFG.CO.,1982,40,,,840,,yes,no,yes,active
RICK SHATZ INC.,1986,36,,,840,,yes,no,no,active
ROBILOTTI FINE JEWELERS,2020,2,,,840,,yes,no,yes,active
ROCHESTER DIAMONDS INC.,1992,30,,,840,3829784,yes,no,yes,active
ROGER LTD.,1944,78,76 - 100,100-249,840,3150573,yes,no,yes,active
ROOF JEWELERS,1968,54,,,840,,yes,no,yes,active
ROSS-SIMONS JEWELERS,1975,47,16 -20,100-249,840,22805,yes,yes,yes,active
ROYAL CHAIN,1978,44,101 - 1000,100-249,840,3188802,yes,yes,yes,active
ROYAL INDIA USA INC.,1995,27,,,840,,yes,yes,no,active
RUSHABH GEMS CORP.,2007,15,,,840,,yes,no,no,active
S. KASHI & SONS INC.,1990,32,,,840,7657284,yes,yes,yes,active
SAM DAVIS DESIGNS,,,,,840,,no,no,no,inactive
SAM LEHR DESIGNS,,,,,840,,no,no,no,inactive
SAMUEL ROZENBAUM,1995,27,,,840,,no,no,no,active
SAMUELS JEWELERS INC.,1998,24,,,840,,yes,no,no,active
SHASHI INC.,2012,10,1 - 2,20-49,840,807856,yes,yes,yes,active
SHEFI DIAMOND INC.,1975,47,,,840,14004415,yes,yes,yes,active
SHOP NBC,,,,,840,,no,no,no,inactive
SIDNEY IMPORT INC.,1994,28,2 - 5,20-49,840,658239,yes,no,no,inactive
SILMA,2016,6,,,840,,yes,yes,no,active
SILVER INTERNATIONAL,2015,7,,,840,,yes,,,active
SILVER STAR JEWELRY MFG.,1997,25,,,840,9308833,yes,no,yes,active
"SILVER UNLIMITED, INC.",1995,27,,,840,,no,no,no,active
SIMPLEXDIAM INC,1983,39,,,840,,yes,no,yes,active
SNC JEWELS INC,2009,13,,,840,,no,no,no,inactive
SOHAM DIAMONDS,,,,,840,,no,no,no,inactive
"SPARK CREATIONS, INC",1972,50,,,840,,yes,no,yes,active
STANLEY CREATIONS INC.,1965,57,,,840,,yes,no,no,active
STARBORN CREATIONS,1996,26,,,840,,yes,yes,yes,active
STS JEWELS INC.,2009,13,,,840,3550515,yes,no,no,active
SUTRA JEWELS,2008,14,,,840,15539194,no,no,no,inactive
T.M.W DIAMONS,1973,49,,,840,,yes,no,yes,active
TECHNAORO,2001,21,,,840,,no,yes,yes,active
"THE CARGO HOLD, INC.",1974,48,,,840,,yes,yes,yes,active
THE DEYOUNG COLLECTION,2010,12,,,840,,no,no,no,active
"THE LAPIS TREE,LTD.",2019,3,,,840,,yes,yes,yes,active
TJM USA LLC,2009,13,,,840,,no,no,no,active
TRILLION DIAMOND CO.,1989,33,,,840,,no,no,no,active
U.S.A. STUDS,1985,37,,,840,,yes,no,no,active
UNITED COLOR GEM INC,1996,26,,,840,,yes,yes,yes,active
UNITED GEMCO.,1999,23,,,840,,yes,yes,yes,active
"UNIVERSAL WATCH CO., INC.",2004,18,,,840,4684200,yes,yes,yes,active
VALENTINE JEWELRY,,,,,840,,yes,no,yes,active
VARIETY GEM CO.,1990,32,,,840,,yes,yes,yes,active
VILLAGE JEWELERS,,,,,840,,yes,no,yes,active
WINDSOR JEWELERS INC,1986,36,25 - 50,100-249,840,4761436,yes,yes,yes,active
YAFA SIGNED JEWELS,2011,11,1 - 2,20-49,840,5103931,yes,yes,yes,active
Z' s Jewelry Creations. Inc.,,,,,840,,no,no,no,inactive
ZEPPO MERCHANDISES,1982,40,,,840,16598934,yes,no,no,active
AMERICAN JEWELRY DESIGNS,2016,6,,,840,,yes,no,no,active
AMIPI INC.,2003,19,,,840,,yes,yes,yes,active
AMY KAHN RUSSELL,1998,24,,20-49,840,14893152,yes,yes,yes,active
"ANATOLI INC.,",1988,34,,,840,,yes,yes,yes,active
ANDREW MEYER JEWELRY,1985,37,,,840,,yes,no,yes,active
ANGELA CONTY DESIGNS,,,,,840,,yes,no,no,inactive
ANGELIQUE DE PARIS,2001,21,,,840,,yes,no,no,active
ANNA LIN JEWELRY,2018,4,,,840,,yes,no,no,active
APIK JEWELRY,1986,36,,,840,,no,no,no,inactive
ARDSLEY INTERNATIONAL INCORPORATED,2011,11,,20-49,840,,no,no,no,active
ARGENT CREATIONS,1986,36,,,840,,yes,no,no,active
ARMAND JACOBY,1973,49,,,840,,yes,no,no,active
ARMBRUST INTERNATIONAL,2003,19,,50-99,840,,yes,no,no,active
"ARNAV, INC",2013,9,,,840,,no,no,no,active
ARON KNOBLOCH INC.,2006,16,,,840,,yes,no,no,active
ART CREATIONS,,,,,840,,yes,yes,yes,active
ARTCARVED BRIDAL,,,44597,100-249,840,2435961,yes,yes,yes,active
ARTHUR GROOM & CO.,,,,,840,,yes,no,yes,active
ARTTECH CASTING COMPANY,,,,,840,,yes,no,no,active
ARZY CO. INC.,,,,,840,,yes,no,no,active
ASCH/GROSSBARDT INC.,1986,36,,,840,,yes,no,no,active
ASHI DIAMONDS LLC,1998,24,16-20,100-249,840,1918924,yes,yes,yes,active
ASSAEL INC.,1961,61,21-50,20-49,840,2351327,yes,yes,yes,active
ASSIL NEW YORK,,,,,840,,yes,no,no,active
ATHRA TRADING INC.,,,,,840,15898828,yes,no,no,active
AXELROD CO.,2020,2,,,840,,yes,no,no,active
AXICON WORLD IMPORTS,,,,,840,,yes,no,no,active
B.H. MULTI COM CORP.,1979,43,101-1000,250-499,840,161482,yes,yes,yes,active
BAADE II LTD.,1995,27,,,840,,yes,no,no,active
BALINESIA INC.,,,,,840,,yes,no,yes,active
"BARNETT DAVIS, INC.",1946,,,,840,,yes,no,no,active
BARSE & CO.,1993,29,,,840,3033118,yes,yes,yes,active
BEACAB GEMS INC.,1990,32,,,840,16937503,yes,no,no,active
BEKKER JEWELRY,2013,9,,,840,,yes,no,no,active
BEN BRIDGE JEWELER,1912,110,101-1000,250-499,840,193091,yes,yes,yes,active
BERKSHIRE CLASSIC,2005,17,,,840,,yes,no,no,active
BHINDI JEWELLERS,1929,93,16-20,100-249,840,1765991,yes,yes,yes,active
BIDZ,1996,26,,,840,5488128,yes,no,no,active
BOB SIEMON DESIGNS,,,,,840,,no,no,no,active
BOMA JEWELRY,1981,41,44597,20-49,840,234938,yes,yes,yes,active
BOREGAARD JEWELER,,,,,840,,yes,yes,yes,active
BOUTIQUE SCANDINAVIA,,,,,840,,yes,no,no,active
BYARD F.BROGAN INC.,1996,26,,,840,,yes,yes,yes,active
C.R. JEWELERS,,,,,840,8442988,yes,no,yes,active
"C.Z. COLLECTIONS, INC.",,,,,840,15245469,yes,no,no,active
CAESAR'S DESIGNS,2006,16,,,840,,yes,yes,yes,active
CARELLE,2002,20,,,840,13052213,yes,no,no,active
"CARGO HOLD, INC.",1974,,,,840,,yes,yes,yes,active
CAROL SILVERA,2021,1,,,840,,yes,no,no,active
CARTIER,1847,175,101-1000,5000-9999,840,13757,yes,yes,yes,active
CHARES & COVARD,1995,97,21-50,100-249,840,124087,yes,yes,yes,active
CHAS SCHWARTZ & SON,1955,67,,,840,7214713,yes,no,no,active
CIRCA,2001,21,76-100,100-249,840,776736,yes,yes,yes,active
CLASSIC DIAMONDS INC.,1992,30,,,840,,no,no,no,active
CLASSIC IMPORTS INC.,,,,,840,,no,no,no,active
COLOR MASTERS PRECIOUS JEWELRY,2002,20,,50-99,840,,yes,no,no,active
CORDOVA INC.,,,,,840,12244625,yes,no,no,active
CORINA COLLECTIONS,,,,,840,,yes,no,no,active
COSTCO WHOLESALE CORPORATION,1983,32,101-1000,5000-9999,840,261,yes,yes,no,active
CRAIG DRAKE MFG INC.,,,,,840,,yes,yes,yes,active
CREATIVA INTERNATIONAL CORP.,1970,52,44597,20-49,840,2441973,yes,yes,yes,active
CRESCENT JEWELERS,1957,65,,,840,15310981,yes,yes,yes,active
CROWN FINDINGS CO. INC.,1983,39,,,840,2546087,yes,no,no,active
D.K.SURANA INC.,,,,,840,,no,no,no,inactive
DANIEL JEWELERS,1948,74,101-1000,250-499,840,271678,yes,yes,yes,active
DANNY S. MESSING CO. INC.,1981,41,,,840,,yes,no,no,active
"DAVID HAKIMI CO., LLC",,,,,840,,no,no,no,active
DE HAGO,1992,30,,,840,,yes,yes,yes,active
DEBORAH ARMSTRONG & CO.,1996,26,,,840,,yes,no,no,active
"DEEPAM, INC.",1997,25,,,840,,yes,no,no,active
DESIGN BY OWEN,,,,,840,,no,no,no,active
DESIGNS BY JOI FRANKEL INC.,1980,42,,,840,,yes,yes,yes,active
DESIGNS BY MARTIN FLYER INC.,1945,77,,,840,6202295,yes,yes,yes,active
DIASTAR INC.,1991,31,,,840,,yes,no,no,active
DIATRACO CORPORATION,1977,45,,,840,,yes,no,no,active
DNM CREATIONS INC.,,,,,840,,yes,no,no,inactive
DOBBS BOSTON,,,,,840,,yes,yes,yes,active
DON ROBERTO,1972,50,51-75,250-499,840,2045370,yes,yes,yes,active
DOVER JEWELRY & DIAMONDS,1985,37,16-20,20-49,840,1226168,yes,yes,yes,active
EARRING KING JEWELRY MFG.,1992,30,,,840,,yes,no,no,active
ECHO OF THE DREAMER,2010,12,,,840,,yes,no,no,active
EL DORADO JEWELRY INC,2002,20,,,840,,yes,yes,yes,active
ELEGANT J. INC.,,,,,840,,no,no,no,active
ELLAGEM INC.,1982,40,,,840,,yes,yes,no,active
EMG CREATIONS INC.,,,,,840,,yes,no,no,active
EMIKO PEARLS INT'L INC,,,,,840,,yes,no,no,active
"EOS JEWELRY INTERNATIONAL, LLC",2000,22,,,840,10367479,yes,no,no,active
ESSEX GLOBAL BIJAN AND CO INC,1988,34,,,840,,no,no,no,active
ETIENNE PERRET,1983,39,,,840,,yes,no,no,active
EUGENE BIRO CORP.,1980,42,,20-49,840,16069133,yes,yes,yes,active
EXCALIBUR ESTATE JEWELRY,,,,,840,,yes,yes,yes,active
FANCY JEWELRY IMPORTS,,,,,840,,yes,no,no,active
FAR FETCHED INC.,,,,,840,,yes,no,no,active
FASHION BELLA,,,,,840,4498133,yes,no,no,active
FINESSE DIAMONDS CORP.,,,,,840,,yes,yes,yes,active
FINK'S JEWELRYS,1930,92,21-50,100-249,840,427936,yes,yes,yes,active
FINN BROS INC.,,,,,840,5710091,yes,no,no,active
FIRST CLASS TRADING CO.,,,,,840,,yes,yes,yes,active
FOREVER CREATIONS USA INC,,,,,840,,no,no,no,active
FORTUNOFF,1922,100,,1000-4999,840,11483939,yes,no,no,active
FRANK MASTOLONI & SONS INC.,,,,,840,7874576,yes,no,no,active
FREEMAN JEWELERS,,,,,840,,yes,no,no,active
FRIEDMAN'S INC.,,,101-1000,1000-4999,840,1488137,yes,no,yes,active
FUSARO JEWELRY,1920,102,,0-9,840,,no,no,no,inactive
G.N. DIAMOND,,,,,840,9076080,yes,no,no,active
GEMS ONE CORP.,1992,30,,,840,5986790,yes,no,yes,active
GOLD TOWN JEWELRY INC.,1981,41,,,840,,no,no,no,active
GOLDEN HIGHWAY JEWELRY,,,,,840,,no,no,no,active
GOLDENWEST DIAMOND CORP,,,,,840,,yes,no,yes,active
GRASSMAN BLAKE INC.,,,,,840,,no,no,no,active
GRASSMAN BLAKE INC.,,,,,840,,yes,no,no,active
H & T GOLDMAN CO.,,,,,840,,no,no,no,inactive
H.J. NAMDAR,1979,43,,20-49,840,,yes,no,yes,active
HAKIMIAN GEM CO. USA,,,,,840,,yes,no,no,active
HAMMERMAN BROS.,1961,61,,,840,,yes,yes,no,active
HARRIS ORIGNALS,,,,,840,4580265,no,no,no,inactive
HARRY RITCHIE'S JEWELERS,1956,66,21-50,100-249,840,1081471,yes,no,yes,active
HEARTS ON FIRE,1996,26,21-50,100-249,840,372567,yes,no,yes,active
HELEN'S JEWEL,2014,8,,0-9,840,10178774,no,no,no,active
HELZBERG DIAMOND SHOPS,1915,107,101-1000,1000-4999,840,43684,yes,no,yes,active
HENRY DESOGNS STUDIO INC.,,,,,840,,yes,no,no,active
HESKIA BROTHERS INC.,,,,,840,,yes,no,no,active
HLY CO.,,,,,840,,yes,no,no,active
HOUSE OF BANGLES JEWELRY INC.,,,,,840,,no,no,no,active
"HOUSE OF GEMS, INC.",1997,,44597,20-49,840,1602627,yes,no,yes,active
HOWARD ENGLE INC.,,,,,840,,no,no,no,active
HUGHES WHOLESALE STERLING,,,,,840,,no,no,no,active
HURSTS' BERWYN JEWELERS INC.,,,,,840,,no,no,no,active
I. MARGOSHES INC.,,,,,840,,yes,no,no,active
"I.D. JEWELRY, LLC",1986,36,44597,20-49,840,1865503,yes,no,yes,active
I.D.I DESIGN GROUP,,,44597,20-49,840,1460008,yes,no,no,active
I.M. DAVIDSON INC.,,,,,840,,no,no,no,active
IKEDA PEARL CO.,,,,,840,,yes,no,yes,active
INDIA ARTS,1960,62,44597,20-49,840,2799510,yes,no,yes,active
INTERNATIONAL BULLION AND METAL BROKERS (IBB),,,,,840,,yes,no,no,active
INTERNATIONAL IMPORT CORP.,,,,,840,,yes,no,no,active
IVY NEW YORK,,,,,840,14108124,yes,no,yes,active
J. KENNEDY DESIGN,,,,,840,,yes,no,no,active
J.B. STAR DIAMONDS,1981,41,21-50,100-249,840,3180318,yes,no,yes,active
J.J. MARCO,,,,,840,15063938,yes,no,yes,active
JANE BOHAN,,,,,840,,yes,no,yes,active
JENNY PERL FOR JMP,,,,,840,,no,no,no,active
JEWELERY UNLIMITED INC. DBA INDIA GEMS,,,,,840,14263859,yes,no,yes,active
JEWELEX NEW YORK LTD.,,,,,840,14614085,yes,no,no,active
JEWELMARK INC.,,,,,840,,yes,no,no,active
JEWELRY BY ARSA,,,,,840,,no,no,no,active
